user_id,ticket_id,customer_name,event_name,event_date,venue_name,seat_number,ticket_price,payment_method,booking_date,booking_status,event_type
11,11,Lennie Tarrier,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,12-06-2022,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,490.06,PayPal,3/27/2022,pending,football
12,12,Milzie Affuso,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,11/30/2022,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia,sapien non mi integer ac neque duis bibendum morbi non quam nec dui,333.17,credit card,06-11-2022,confirmed,horror movie
13,13,Lana Mosdell,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,1/20/2022,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,278.59,credit card,11/21/2022,cancelled,cricket
14,14,Aguste Shaplin,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,08-01-2022,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,226.77,credit card,09-03-2022,pending,dance
15,15,Maud Gerger,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,4/15/2022,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget,51.21,PayPal,10/15/2022,cancelled,f1
16,16,Jacenta Beautyman,aenean auctor gravida sem praesent id massa id nisl venenatis,3/27/2022,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,169.32,credit card,5/18/2022,cancelled,thriller movie
17,17,Mort Cracoe,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem,10/31/2022,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,484.94,PayPal,8/24/2022,confirmed,thriller movie
18,18,Gregor Skellington,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,7/18/2022,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,quam pharetra magna ac consequat metus sapien ut nunc vestibulum,61.75,credit card,08-02-2022,cancelled,football
19,19,Kellina Lewnden,at ipsum ac tellus semper interdum mauris ullamcorper purus sit,07-05-2022,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque,430.21,credit card,3/17/2022,confirmed,cricket
20,20,Sioux Penkman,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,04-02-2022,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,172.44,debit card,6/13/2022,cancelled,horror movie
21,21,Doralynn Doyley,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,1/28/2022,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,410.6,debit card,12-10-2022,confirmed,horror movie
22,22,Egan Rushe,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,6/29/2022,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,112.75,PayPal,9/25/2022,cancelled,music
23,23,Carol-jean Chmarny,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel,3/14/2022,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,331.16,PayPal,7/31/2022,pending,football
24,24,Gerrie Yarr,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus,1/27/2022,at turpis donec posuere metus vitae ipsum aliquam non mauris,lectus suspendisse potenti in eleifend quam a odio in hac habitasse,398.78,PayPal,03-07-2022,pending,sci-fi movie
25,25,Emlyn Letherbury,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,09-06-2022,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,398.34,credit card,6/26/2022,cancelled,sci-fi movie
26,26,Gannie Gurge,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,4/30/2022,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,250.15,credit card,12/25/2022,cancelled,f1
27,27,Roddie Posten,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,09-03-2022,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,18.8,PayPal,09-06-2022,pending,f1
28,28,Ardine Whenman,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,03-08-2022,eu magna vulputate luctus cum sociis natoque penatibus et magnis,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,374.22,debit card,3/26/2022,cancelled,music
29,29,Valaree Howgego,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,6/19/2022,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,100.38,credit card,8/25/2022,pending,cricket
30,30,Karrie Dance,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna,09-06-2022,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,118.97,credit card,4/23/2022,cancelled,horror movie
31,31,Lisetta Mulryan,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,08-05-2022,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,duis mattis egestas metus aenean fermentum donec ut mauris eget,78.92,debit card,05-12-2022,confirmed,horror movie
32,32,Guendolen Whates,sem duis aliquam convallis nunc proin at turpis a pede posuere,6/13/2022,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,164.76,credit card,11/23/2022,confirmed,cricket
33,33,Alvy Plose,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,9/13/2022,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,199.52,debit card,7/28/2022,confirmed,f1
34,34,Leona Looby,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,10/16/2022,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna,24.86,PayPal,10-04-2022,cancelled,thriller movie
35,35,Osmund Heffernon,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,11-09-2022,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,177.22,PayPal,10-07-2022,cancelled,f1
36,36,Sibel Mourgue,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,7/19/2022,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,207.69,credit card,03-02-2022,cancelled,football
37,37,Jermain Uc,viverra eget congue eget semper rutrum nulla nunc purus phasellus in,3/17/2022,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,142.95,PayPal,09-03-2022,confirmed,thriller movie
38,38,Jordain Dyers,bibendum felis sed interdum venenatis turpis enim blandit mi in,12/20/2022,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,136.59,PayPal,6/25/2022,pending,f1
39,39,Daffy Widdecombe,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,6/13/2022,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis,33.14,credit card,11/14/2022,pending,thriller movie
40,40,Jan Lonergan,duis mattis egestas metus aenean fermentum donec ut mauris eget,02-03-2022,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,488.84,debit card,10/16/2022,confirmed,sci-fi movie
41,41,Jasmin Tilsley,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,7/27/2022,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,159.69,PayPal,5/24/2022,pending,music
42,42,Olivia Hannaby,erat curabitur gravida nisi at nibh in hac habitasse platea,2/15/2022,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,131.35,debit card,5/28/2022,confirmed,f1
43,43,Filide Lermouth,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,02-11-2022,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,nulla ut erat id mauris vulputate elementum nullam varius nulla,315.64,PayPal,10-03-2022,confirmed,cricket
44,44,Tootsie Dominici,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,01-05-2022,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,188.28,debit card,09-03-2022,confirmed,thriller movie
45,45,Emmerich Daddow,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,11/22/2022,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,225.73,credit card,04-04-2022,pending,dance
46,46,Hamish Hegden,ante nulla justo aliquam quis turpis eget elit sodales scelerisque,12/13/2022,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,191.26,debit card,3/27/2022,confirmed,f1
47,47,Hunter Brounfield,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a,02-07-2022,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,418.92,credit card,11/24/2022,pending,sci-fi movie
48,48,Chen Creamen,potenti cras in purus eu magna vulputate luctus cum sociis,10-02-2022,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,189.02,credit card,07-05-2022,cancelled,horror movie
49,49,Cos Kolin,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,07-04-2022,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,47.35,credit card,08-01-2022,cancelled,cricket
50,50,Morton Esposito,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,2/21/2022,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in,433.2,credit card,11-04-2022,pending,horror movie
51,51,Annamaria Gercken,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,10/20/2022,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,237.13,debit card,10-04-2022,cancelled,music
52,52,Nealson Voller,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,02-08-2022,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,duis bibendum felis sed interdum venenatis turpis enim blandit mi in,463.2,debit card,11/16/2022,confirmed,sci-fi movie
53,53,Fan Drexel,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,7/25/2022,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,147.85,debit card,03-04-2022,cancelled,music
54,54,Augustine Sherrington,tincidunt eu felis fusce posuere felis sed lacus morbi sem,2/26/2022,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,402.38,credit card,12/13/2022,pending,f1
55,55,Helenelizabeth Sharpling,purus phasellus in felis donec semper sapien a libero nam dui proin,08-11-2022,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,420.6,PayPal,12-04-2022,cancelled,f1
56,56,Ezequiel Cheake,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,03-11-2022,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,251.13,PayPal,8/13/2022,cancelled,music
57,57,Mellicent Gariff,id mauris vulputate elementum nullam varius nulla facilisi cras non,10/15/2022,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,235.15,credit card,10/13/2022,cancelled,football
58,58,Spense Tarbet,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,11/27/2022,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque,84.02,credit card,3/20/2022,confirmed,dance
59,59,Cyb Baudesson,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,3/23/2022,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,53.58,debit card,2/18/2022,pending,thriller movie
60,60,Margery Raisbeck,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,7/18/2022,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,473.49,PayPal,5/21/2022,pending,cricket
61,61,Karim Skepper,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris,09-05-2022,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,61.75,PayPal,4/18/2022,cancelled,dance
62,62,Eugenie McKay,enim blandit mi in porttitor pede justo eu massa donec,12-04-2022,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,39.99,PayPal,6/25/2022,cancelled,football
63,63,Hilary Buglass,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,3/31/2022,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,367.18,PayPal,02-08-2022,confirmed,cricket
64,64,Prudi McLellan,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget,04-10-2022,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,344.47,PayPal,4/29/2022,pending,music
65,65,Annabela Miebes,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,09-01-2022,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,32.87,PayPal,10/21/2022,cancelled,f1
66,66,Che Jouanny,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,06-06-2022,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,324.24,credit card,3/19/2022,confirmed,music
67,67,Darren Mogie,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,10-06-2022,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,221.72,credit card,11/14/2022,cancelled,sci-fi movie
68,68,Shandie Smithson,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,05-09-2022,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,25.2,debit card,8/27/2022,pending,music
69,69,Meggie Vale,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,04-07-2022,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,458.72,credit card,12/19/2022,pending,cricket
70,70,Delcine George,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,08-04-2022,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,pede justo eu massa donec dapibus duis at velit eu est congue elementum in,52.2,debit card,12/30/2022,cancelled,sci-fi movie
71,71,Clayson Clowsley,nisl aenean lectus pellentesque eget nunc donec quis orci eget,3/20/2022,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,364.32,PayPal,4/19/2022,confirmed,dance
72,72,Lorri Mazdon,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,9/21/2022,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non,lectus vestibulum quam sapien varius ut blandit non interdum in ante,108.87,debit card,08-08-2022,cancelled,sci-fi movie
73,73,Alana Pestor,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,1/30/2022,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,351.36,debit card,11-06-2022,cancelled,thriller movie
74,74,Carol Whitta,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,10/31/2022,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,244.27,credit card,7/20/2022,confirmed,f1
75,75,Vida Werner,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,11-12-2022,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla,255.61,credit card,07-06-2022,pending,sci-fi movie
76,76,Jsandye Miskimmon,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,7/23/2022,turpis donec posuere metus vitae ipsum aliquam non mauris morbi,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc,412.75,debit card,02-08-2022,cancelled,football
77,77,Cate Sotham,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,02-08-2022,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim,163.08,credit card,07-09-2022,pending,football
78,78,Cyrillus Dick,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,11/26/2022,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,170.02,PayPal,11/15/2022,confirmed,football
79,79,Karin Gorwood,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,06-02-2022,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,44.54,debit card,08-10-2022,pending,sci-fi movie
80,80,Jodie Curtin,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,04-02-2022,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,431.94,debit card,11/30/2022,confirmed,cricket
81,81,Katee Rymell,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,7/24/2022,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet,477.31,credit card,05-09-2022,pending,thriller movie
82,82,Lily Ephgrave,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,12-10-2022,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,82.48,debit card,11-11-2022,pending,football
